Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000151	ENSMPUG00000000150.1	ENSMPUT00000000151.1
ENSMPUT00000000152	ENSMPUG00000000151.1	ENSMPUT00000000152.1
ENSMPUT00000000153	ENSMPUG00000000152.1	ENSMPUT00000000153.1
ENSMPUT00000000154	ENSMPUG00000000153.1	ENSMPUT00000000154.1
ENSMPUT00000000155	ENSMPUG00000000154.1	ENSMPUT00000000155.1
ENSMPUT00000000156	ENSMPUG00000000155.1	ENSMPUT00000000156.1
ENSMPUT00000000157	ENSMPUG00000000156.1	ENSMPUT00000000157.1
ENSMPUT00000000158	ENSMPUG00000000157.1	ENSMPUT00000000158.1
ENSMPUT00000000159	ENSMPUG00000000158.1	ENSMPUT00000000159.1
ENSMPUT00000000160	ENSMPUG00000000159.1	ENSMPUT00000000160.1
ENSMPUT00000000161	ENSMPUG00000000160.1	ENSMPUT00000000161.1
ENSMPUT00000000162	ENSMPUG00000000161.1	ENSMPUT00000000162.1
ENSMPUT00000000163	ENSMPUG00000000162.1	ENSMPUT00000000163.1
ENSMPUT00000000164	ENSMPUG00000000163.1	ENSMPUT00000000164.1
ENSMPUT00000000165	ENSMPUG00000000164.1	ENSMPUT00000000165.1
ENSMPUT00000000166	ENSMPUG00000000165.1	ENSMPUT00000000166.1
ENSMPUT00000000167	ENSMPUG00000000166.1	ENSMPUT00000000167.1
ENSMPUT00000000168	ENSMPUG00000000167.1	ENSMPUT00000000168.1
ENSMPUT00000000169	ENSMPUG00000000168.1	ENSMPUT00000000169.1
ENSMPUT00000000170	ENSMPUG00000000169.1	ENSMPUT00000000170.1
ENSMPUT00000000171	ENSMPUG00000000170.1	ENSMPUT00000000171.1
ENSMPUT00000000172	ENSMPUG00000000171.1	ENSMPUT00000000172.1
ENSMPUT00000000173	ENSMPUG00000000172.1	ENSMPUT00000000173.1
ENSMPUT00000000174	ENSMPUG00000000173.1	ENSMPUT00000000174.1
ENSMPUT00000000175	ENSMPUG00000000174.1	ENSMPUT00000000175.1
ENSMPUT00000000176	ENSMPUG00000000175.1	ENSMPUT00000000176.1
ENSMPUT00000000177	ENSMPUG00000000176.1	ENSMPUT00000000177.1
ENSMPUT00000000178	ENSMPUG00000000177.1	ENSMPUT00000000178.1
ENSMPUT00000000179	ENSMPUG00000000178.1	ENSMPUT00000000179.1
ENSMPUT00000000180	ENSMPUG00000000179.1	ENSMPUT00000000180.1
ENSMPUT00000000181	ENSMPUG00000000180.1	ENSMPUT00000000181.1
ENSMPUT00000000182	ENSMPUG00000000181.1	ENSMPUT00000000182.1
ENSMPUT00000000183	ENSMPUG00000000182.1	ENSMPUT00000000183.1
ENSMPUT00000000184	ENSMPUG00000000183.1	ENSMPUT00000000184.1
ENSMPUT00000000185	ENSMPUG00000000184.1	ENSMPUT00000000185.1
ENSMPUT00000000186	ENSMPUG00000000185.1	ENSMPUT00000000186.1
ENSMPUT00000000187	ENSMPUG00000000186.1	ENSMPUT00000000187.1
ENSMPUT00000000188	ENSMPUG00000000187.1	ENSMPUT00000000188.1
ENSMPUT00000000189	ENSMPUG00000000188.1	ENSMPUT00000000189.1
ENSMPUT00000000190	ENSMPUG00000000189.1	ENSMPUT00000000190.1
ENSMPUT00000000191	ENSMPUG00000000190.1	ENSMPUT00000000191.1
ENSMPUT00000000192	ENSMPUG00000000191.1	ENSMPUT00000000192.1
ENSMPUT00000000193	ENSMPUG00000000192.1	ENSMPUT00000000193.1
ENSMPUT00000000194	ENSMPUG00000000193.1	ENSMPUT00000000194.1
ENSMPUT00000000195	ENSMPUG00000000194.1	ENSMPUT00000000195.1
ENSMPUT00000000196	ENSMPUG00000000195.1	ENSMPUT00000000196.1
ENSMPUT00000000197	ENSMPUG00000000196.1	ENSMPUT00000000197.1
ENSMPUT00000000198	ENSMPUG00000000197.1	ENSMPUT00000000198.1
ENSMPUT00000000199	ENSMPUG00000000198.1	ENSMPUT00000000199.1
ENSMPUT00000000200	ENSMPUG00000000199.1	ENSMPUT00000000200.1
ENSMPUT00000000201	ENSMPUG00000000200.1	ENSMPUT00000000201.1
ENSMPUT00000000202	ENSMPUG00000000201.1	ENSMPUT00000000202.1
ENSMPUT00000000203	ENSMPUG00000000202.1	ENSMPUT00000000203.1
ENSMPUT00000000204	ENSMPUG00000000203.1	ENSMPUT00000000204.1
ENSMPUT00000000205	ENSMPUG00000000204.1	ENSMPUT00000000205.1
ENSMPUT00000000206	ENSMPUG00000000205.1	ENSMPUT00000000206.1
ENSMPUT00000000207	ENSMPUG00000000206.1	ENSMPUT00000000207.1
ENSMPUT00000000208	ENSMPUG00000000207.1	ENSMPUT00000000208.1
ENSMPUT00000000209	ENSMPUG00000000208.1	ENSMPUT00000000209.1
ENSMPUT00000000210	ENSMPUG00000000209.1	ENSMPUT00000000210.1
ENSMPUT00000000211	ENSMPUG00000000210.1	ENSMPUT00000000211.1
ENSMPUT00000000212	ENSMPUG00000000211.1	ENSMPUT00000000212.1
ENSMPUT00000000213	ENSMPUG00000000212.1	ENSMPUT00000000213.1
ENSMPUT00000000214	ENSMPUG00000000213.1	ENSMPUT00000000214.1
ENSMPUT00000000215	ENSMPUG00000000214.1	ENSMPUT00000000215.1
ENSMPUT00000000216	ENSMPUG00000000215.1	ENSMPUT00000000216.1
ENSMPUT00000000217	ENSMPUG00000000216.1	ENSMPUT00000000217.1
ENSMPUT00000000218	ENSMPUG00000000217.1	ENSMPUT00000000218.1
ENSMPUT00000000219	ENSMPUG00000000218.1	ENSMPUT00000000219.1
ENSMPUT00000000220	ENSMPUG00000000219.1	ENSMPUT00000000220.1
ENSMPUT00000000221	ENSMPUG00000000220.1	ENSMPUT00000000221.1
ENSMPUT00000000222	ENSMPUG00000000221.1	ENSMPUT00000000222.1
ENSMPUT00000000223	ENSMPUG00000000222.1	ENSMPUT00000000223.1
ENSMPUT00000000224	ENSMPUG00000000223.1	ENSMPUT00000000224.1
ENSMPUT00000000225	ENSMPUG00000000224.1	ENSMPUT00000000225.1
ENSMPUT00000000226	ENSMPUG00000000225.1	ENSMPUT00000000226.1
ENSMPUT00000000227	ENSMPUG00000000226.1	ENSMPUT00000000227.1
ENSMPUT00000000228	ENSMPUG00000000227.1	ENSMPUT00000000228.1
ENSMPUT00000000229	ENSMPUG00000000228.1	ENSMPUT00000000229.1
ENSMPUT00000000230	ENSMPUG00000000229.1	ENSMPUT00000000230.1
ENSMPUT00000000231	ENSMPUG00000000230.1	ENSMPUT00000000231.1
ENSMPUT00000000232	ENSMPUG00000000231.1	ENSMPUT00000000232.1
ENSMPUT00000000233	ENSMPUG00000000232.1	ENSMPUT00000000233.1
ENSMPUT00000000234	ENSMPUG00000000233.1	ENSMPUT00000000234.1
ENSMPUT00000000235	ENSMPUG00000000234.1	ENSMPUT00000000235.1
ENSMPUT00000000236	ENSMPUG00000000235.1	ENSMPUT00000000236.1
ENSMPUT00000000237	ENSMPUG00000000236.1	ENSMPUT00000000237.1
ENSMPUT00000000238	ENSMPUG00000000237.1	ENSMPUT00000000238.1
ENSMPUT00000000239	ENSMPUG00000000238.1	ENSMPUT00000000239.1
ENSMPUT00000000240	ENSMPUG00000000239.1	ENSMPUT00000000240.1
ENSMPUT00000000241	ENSMPUG00000000240.1	ENSMPUT00000000241.1
ENSMPUT00000000242	ENSMPUG00000000241.1	ENSMPUT00000000242.1
ENSMPUT00000000243	ENSMPUG00000000242.1	ENSMPUT00000000243.1
ENSMPUT00000000244	ENSMPUG00000000243.1	ENSMPUT00000000244.1
ENSMPUT00000000245	ENSMPUG00000000244.1	ENSMPUT00000000245.1
ENSMPUT00000000246	ENSMPUG00000000245.1	ENSMPUT00000000246.1
ENSMPUT00000000247	ENSMPUG00000000246.1	ENSMPUT00000000247.1
ENSMPUT00000000248	ENSMPUG00000000247.1	ENSMPUT00000000248.1
ENSMPUT00000000249	ENSMPUG00000000248.1	ENSMPUT00000000249.1
ENSMPUT00000000250	ENSMPUG00000000249.1	ENSMPUT00000000250.1
ENSMPUT00000000251	ENSMPUG00000000250.1	ENSMPUT00000000251.1
ENSMPUT00000000252	ENSMPUG00000000251.1	ENSMPUT00000000252.1
ENSMPUT00000000253	ENSMPUG00000000252.1	ENSMPUT00000000253.1
ENSMPUT00000000254	ENSMPUG00000000253.1	ENSMPUT00000000254.1
ENSMPUT00000000255	ENSMPUG00000000254.1	ENSMPUT00000000255.1
ENSMPUT00000000256	ENSMPUG00000000255.1	ENSMPUT00000000256.1
ENSMPUT00000000257	ENSMPUG00000000256.1	ENSMPUT00000000257.1
ENSMPUT00000000258	ENSMPUG00000000257.1	ENSMPUT00000000258.1
ENSMPUT00000000259	ENSMPUG00000000258.1	ENSMPUT00000000259.1
ENSMPUT00000000260	ENSMPUG00000000259.1	ENSMPUT00000000260.1
ENSMPUT00000000261	ENSMPUG00000000260.1	ENSMPUT00000000261.1
ENSMPUT00000000262	ENSMPUG00000000261.1	ENSMPUT00000000262.1
ENSMPUT00000000263	ENSMPUG00000000262.1	ENSMPUT00000000263.1
ENSMPUT00000000264	ENSMPUG00000000262.1	ENSMPUT00000000264.1
ENSMPUT00000000265	ENSMPUG00000000263.1	ENSMPUT00000000265.1
ENSMPUT00000000266	ENSMPUG00000000264.1	ENSMPUT00000000266.1
ENSMPUT00000000267	ENSMPUG00000000265.1	ENSMPUT00000000267.1
ENSMPUT00000000268	ENSMPUG00000000266.1	ENSMPUT00000000268.1
ENSMPUT00000000269	ENSMPUG00000000267.1	ENSMPUT00000000269.1
ENSMPUT00000000270	ENSMPUG00000000268.1	ENSMPUT00000000270.1
ENSMPUT00000000271	ENSMPUG00000000269.1	ENSMPUT00000000271.1
ENSMPUT00000000272	ENSMPUG00000000270.1	ENSMPUT00000000272.1
ENSMPUT00000000273	ENSMPUG00000000271.1	ENSMPUT00000000273.1
ENSMPUT00000000274	ENSMPUG00000000272.1	ENSMPUT00000000274.1
ENSMPUT00000000275	ENSMPUG00000000273.1	ENSMPUT00000000275.1
ENSMPUT00000000276	ENSMPUG00000000274.1	ENSMPUT00000000276.1
ENSMPUT00000000277	ENSMPUG00000000275.1	ENSMPUT00000000277.1
ENSMPUT00000000278	ENSMPUG00000000276.1	ENSMPUT00000000278.1
ENSMPUT00000000279	ENSMPUG00000000277.1	ENSMPUT00000000279.1
ENSMPUT00000000280	ENSMPUG00000000278.1	ENSMPUT00000000280.1
ENSMPUT00000000281	ENSMPUG00000000279.1	ENSMPUT00000000281.1
ENSMPUT00000000282	ENSMPUG00000000280.1	ENSMPUT00000000282.1
ENSMPUT00000000283	ENSMPUG00000000281.1	ENSMPUT00000000283.1
ENSMPUT00000000284	ENSMPUG00000000282.1	ENSMPUT00000000284.1
ENSMPUT00000000285	ENSMPUG00000000283.1	ENSMPUT00000000285.1
ENSMPUT00000000286	ENSMPUG00000000284.1	ENSMPUT00000000286.1
ENSMPUT00000000287	ENSMPUG00000000285.1	ENSMPUT00000000287.1
ENSMPUT00000000288	ENSMPUG00000000286.1	ENSMPUT00000000288.1
ENSMPUT00000000289	ENSMPUG00000000287.1	ENSMPUT00000000289.1
ENSMPUT00000000290	ENSMPUG00000000288.1	ENSMPUT00000000290.1
ENSMPUT00000000291	ENSMPUG00000000289.1	ENSMPUT00000000291.1
ENSMPUT00000000292	ENSMPUG00000000290.1	ENSMPUT00000000292.1
ENSMPUT00000000293	ENSMPUG00000000291.1	ENSMPUT00000000293.1
ENSMPUT00000000294	ENSMPUG00000000292.1	ENSMPUT00000000294.1
ENSMPUT00000000295	ENSMPUG00000000293.1	ENSMPUT00000000295.1
ENSMPUT00000000296	ENSMPUG00000000294.1	ENSMPUT00000000296.1
ENSMPUT00000000297	ENSMPUG00000000295.1	ENSMPUT00000000297.1
ENSMPUT00000000298	ENSMPUG00000000296.1	ENSMPUT00000000298.1
ENSMPUT00000000299	ENSMPUG00000000297.1	ENSMPUT00000000299.1
ENSMPUT00000000300	ENSMPUG00000000298.1	ENSMPUT00000000300.1
ENSMPUT00000000301	ENSMPUG00000000299.1	ENSMPUT00000000301.1
ENSMPUT00000000302	ENSMPUG00000000300.1	ENSMPUT00000000302.1
ENSMPUT00000000303	ENSMPUG00000000301.1	ENSMPUT00000000303.1
ENSMPUT00000000304	ENSMPUG00000000302.1	ENSMPUT00000000304.1
ENSMPUT00000000305	ENSMPUG00000000303.1	ENSMPUT00000000305.1
ENSMPUT00000000306	ENSMPUG00000000304.1	ENSMPUT00000000306.1
ENSMPUT00000000307	ENSMPUG00000000305.1	ENSMPUT00000000307.1
ENSMPUT00000000308	ENSMPUG00000000306.1	ENSMPUT00000000308.1
ENSMPUT00000000309	ENSMPUG00000000307.1	ENSMPUT00000000309.1
ENSMPUT00000000310	ENSMPUG00000000308.1	ENSMPUT00000000310.1
ENSMPUT00000000311	ENSMPUG00000000309.1	ENSMPUT00000000311.1
ENSMPUT00000000312	ENSMPUG00000000310.1	ENSMPUT00000000312.1
ENSMPUT00000000313	ENSMPUG00000000311.1	ENSMPUT00000000313.1
ENSMPUT00000000314	ENSMPUG00000000312.1	ENSMPUT00000000314.1
ENSMPUT00000000315	ENSMPUG00000000313.1	ENSMPUT00000000315.1
ENSMPUT00000000316	ENSMPUG00000000314.1	ENSMPUT00000000316.1
ENSMPUT00000000317	ENSMPUG00000000315.1	ENSMPUT00000000317.1
ENSMPUT00000000318	ENSMPUG00000000316.1	ENSMPUT00000000318.1
ENSMPUT00000000319	ENSMPUG00000000317.1	ENSMPUT00000000319.1
ENSMPUT00000000320	ENSMPUG00000000318.1	ENSMPUT00000000320.1
ENSMPUT00000000321	ENSMPUG00000000319.1	ENSMPUT00000000321.1
ENSMPUT00000000322	ENSMPUG00000000320.1	ENSMPUT00000000322.1
ENSMPUT00000000323	ENSMPUG00000000321.1	ENSMPUT00000000323.1
ENSMPUT00000000324	ENSMPUG00000000322.1	ENSMPUT00000000324.1
